onset	duration	trial_type	value	sample	dropped	drop reason
6.9766	0.0	pain	1	69766	0	n/a
8.5397	0.0	pain	1	85397	0	n/a
10.2766	0.0	pain	1	102766	0	n/a
11.8318	0.0	pain	1	118318	0	n/a
13.495	0.0	pain	1	134950	0	n/a
15.1952	0.0	pain	1	151952	0	n/a
16.8247	0.0	pain	1	168247	0	n/a
18.5455	0.0	pain	1	185455	0	n/a
20.1307	0.0	pain	1	201307	0	n/a
21.8351	0.0	pain	1	218351	0	n/a
23.458	0.0	pain	1	234580	0	n/a
25.2083	0.0	pain	1	252083	0	n/a
26.8746	0.0	pain	1	268746	0	n/a
28.4745	0.0	pain	1	284745	0	n/a
30.1199	0.0	pain	1	301199	0	n/a
31.7958	0.0	pain	1	317958	0	n/a
33.527	0.0	pain	1	335270	0	n/a
35.2472	0.0	pain	1	352472	0	n/a
36.9073	0.0	pain	1	369073	0	n/a
38.5354	0.0	pain	1	385354	0	n/a
40.1659	0.0	pain	1	401659	0	n/a
41.7348	0.0	pain	1	417348	0	n/a
43.469	0.0	pain	1	434690	0	n/a
45.2202	0.0	Abort	99	452202	1	LASER ABORT
53.7658	0.0	pain	1	537658	0	n/a
55.3284	0.0	pain	1	553284	0	n/a
56.9343	0.0	pain	1	569343	0	n/a
58.5327	0.0	pain	1	585327	0	n/a
60.2425	0.0	pain	1	602425	0	n/a
61.9407	0.0	pain	1	619407	0	n/a
63.6342	0.0	pain	1	636342	0	n/a
65.2502	0.0	pain	1	652502	0	n/a
66.9825	0.0	pain	1	669825	0	n/a
68.7064	0.0	pain	1	687064	0	n/a
70.2736	0.0	pain	1	702736	0	n/a
71.9008	0.0	pain	1	719008	0	n/a
7.0483	0.0	pain	1	70483	0	n/a
8.6615	0.0	pain	1	86615	0	n/a
10.3056	0.0	pain	1	103056	0	n/a
12.0181	0.0	pain	1	120181	0	n/a
13.6912	0.0	pain	1	136912	0	n/a
15.4273	0.0	pain	1	154273	0	n/a
17.0945	0.0	pain	1	170945	0	n/a
