onset	duration	trial_type	value	sample	dropped	drop reason
31.9164	0.0	Abort	99	319164	1	LASER ABORT
37.4618	0.0	pain	1	374618	0	n/a
39.0743	0.0	pain	1	390743	0	n/a
40.8085	0.0	pain	1	408085	0	n/a
42.4794	0.0	pain	1	424794	0	n/a
44.0729	0.0	pain	1	440729	0	n/a
45.6527	0.0	pain	1	456527	0	n/a
47.3801	0.0	pain	1	473801	0	n/a
49.0753	0.0	pain	1	490753	0	n/a
50.7612	0.0	pain	1	507612	0	n/a
52.4183	0.0	pain	1	524183	0	n/a
54.1315	0.0	pain	1	541315	0	n/a
55.8426	0.0	pain	1	558426	0	n/a
57.5571	0.0	pain	1	575571	0	n/a
59.296	0.0	pain	1	592960	0	n/a
60.8921	0.0	pain	1	608921	0	n/a
62.4636	0.0	pain	1	624636	0	n/a
64.0834	0.0	pain	1	640834	0	n/a
65.6397	0.0	pain	1	656397	0	n/a
67.2387	0.0	pain	1	672387	0	n/a
68.9019	0.0	pain	1	689019	0	n/a
70.507	0.0	pain	1	705070	0	n/a
72.2224	0.0	pain	1	722224	0	n/a
73.9693	0.0	Abort	99	739693	1	LASER ABORT
80.6985	0.0	pain	1	806985	0	n/a
82.4027	0.0	pain	1	824027	0	n/a
84.0358	0.0	pain	1	840358	0	n/a
85.6822	0.0	pain	1	856822	0	n/a
87.2332	0.0	pain	1	872332	0	n/a
88.8874	0.0	pain	1	888874	0	n/a
90.6115	0.0	pain	1	906115	0	n/a
92.213	0.0	pain	1	922130	0	n/a
93.7728	0.0	pain	1	937728	0	n/a
95.5211	0.0	pain	1	955211	0	n/a
97.0786	0.0	pain	1	970786	0	n/a
98.7868	0.0	pain	1	987868	0	n/a
12.0856	0.0	pain	1	120856	0	n/a
13.83	0.0	pain	1	138300	0	n/a
15.5421	0.0	pain	1	155421	0	n/a
17.1172	0.0	pain	1	171172	0	n/a
18.8046	0.0	pain	1	188046	0	n/a
20.4455	0.0	pain	1	204455	0	n/a
22.0149	0.0	pain	1	220149	0	n/a
23.597	0.0	pain	1	235970	0	n/a
25.198	0.0	pain	1	251980	0	n/a
26.8472	0.0	pain	1	268472	0	n/a
28.5945	0.0	pain	1	285945	0	n/a
30.2194	0.0	pain	1	302194	0	n/a
31.8536	0.0	pain	1	318536	0	n/a
33.5437	0.0	pain	1	335437	0	n/a
35.1839	0.0	pain	1	351839	0	n/a
36.898	0.0	pain	1	368980	0	n/a
38.5221	0.0	pain	1	385221	0	n/a
40.2403	0.0	pain	1	402403	0	n/a
41.8288	0.0	pain	1	418288	0	n/a
43.5096	0.0	pain	1	435096	0	n/a
45.0831	0.0	pain	1	450831	0	n/a
46.6692	0.0	pain	1	466692	0	n/a
48.3644	0.0	pain	1	483644	0	n/a
49.9226	0.0	pain	1	499226	0	n/a
51.6568	0.0	pain	1	516568	0	n/a
53.2597	0.0	pain	1	532597	0	n/a
54.9251	0.0	pain	1	549251	0	n/a
56.545	0.0	pain	1	565450	0	n/a
58.1642	0.0	pain	1	581642	0	n/a
59.9024	0.0	pain	1	599024	0	n/a
61.6516	0.0	pain	1	616516	0	n/a
63.3559	0.0	pain	1	633559	0	n/a
64.9398	0.0	pain	1	649398	0	n/a
66.597	0.0	pain	1	665970	0	n/a
68.2282	0.0	pain	1	682282	0	n/a
69.9513	0.0	pain	1	699513	0	n/a
10.7278	0.0	pain	1	107278	0	n/a
12.3052	0.0	pain	1	123052	0	n/a
13.9914	0.0	pain	1	139914	0	n/a
15.5975	0.0	pain	1	155975	0	n/a
17.2977	0.0	pain	1	172977	0	n/a
19.0425	0.0	pain	1	190425	0	n/a
20.6027	0.0	pain	1	206027	0	n/a
22.2141	0.0	pain	1	222141	0	n/a
23.9282	0.0	pain	1	239282	0	n/a
25.6473	0.0	pain	1	256473	0	n/a
27.2155	0.0	pain	1	272155	0	n/a
28.8699	0.0	pain	1	288699	0	n/a
30.5149	0.0	pain	1	305149	0	n/a
32.206	0.0	pain	1	322060	0	n/a
33.7584	0.0	pain	1	337584	0	n/a
35.3652	0.0	pain	1	353652	0	n/a
37.1084	0.0	pain	1	371084	0	n/a
38.7718	0.0	pain	1	387718	0	n/a
40.4287	0.0	pain	1	404287	0	n/a
42.176	0.0	pain	1	421760	0	n/a
43.8521	0.0	pain	1	438521	0	n/a
45.5556	0.0	pain	1	455556	0	n/a
47.2765	0.0	pain	1	472765	0	n/a
48.9559	0.0	pain	1	489559	0	n/a
50.7019	0.0	pain	1	507019	0	n/a
52.289	0.0	pain	1	522890	0	n/a
53.8891	0.0	pain	1	538891	0	n/a
55.4443	0.0	pain	1	554443	0	n/a
57.1426	0.0	pain	1	571426	0	n/a
58.7408	0.0	pain	1	587408	0	n/a
60.3648	0.0	pain	1	603648	0	n/a
61.9462	0.0	pain	1	619462	0	n/a
63.6624	0.0	pain	1	636624	0	n/a
65.3273	0.0	pain	1	653273	0	n/a
67.0534	0.0	pain	1	670534	0	n/a
68.7948	0.0	pain	1	687948	0	n/a
11.7385	0.0	pain	1	117385	0	n/a
13.3077	0.0	pain	1	133077	0	n/a
14.9808	0.0	pain	1	149808	0	n/a
16.653	0.0	pain	1	166530	0	n/a
18.2091	0.0	pain	1	182091	0	n/a
19.9313	0.0	pain	1	199313	0	n/a
21.5745	0.0	pain	1	215745	0	n/a
23.3246	0.0	pain	1	233246	0	n/a
25.0138	0.0	pain	1	250138	0	n/a
26.5689	0.0	pain	1	265689	0	n/a
28.1271	0.0	pain	1	281271	0	n/a
29.7143	0.0	pain	1	297143	0	n/a
31.3857	0.0	pain	1	313857	0	n/a
32.9815	0.0	pain	1	329815	0	n/a
34.5937	0.0	pain	1	345937	0	n/a
36.225	0.0	pain	1	362250	0	n/a
37.778	0.0	pain	1	377780	0	n/a
39.5265	0.0	pain	1	395265	0	n/a
41.0865	0.0	pain	1	410865	0	n/a
42.7077	0.0	pain	1	427077	0	n/a
44.3132	0.0	pain	1	443132	0	n/a
45.9451	0.0	pain	1	459451	0	n/a
47.5705	0.0	pain	1	475705	0	n/a
49.2474	0.0	pain	1	492474	0	n/a
50.9155	0.0	pain	1	509155	0	n/a
