onset	duration	trial_type	value	sample	dropped	drop reason
4.2726	0.0	pain	1	42726	0	n/a
5.9024	0.0	pain	1	59024	0	n/a
7.6366	0.0	pain	1	76366	0	n/a
9.3018	0.0	pain	1	93018	0	n/a
10.9094	0.0	pain	1	109094	0	n/a
12.6055	0.0	pain	1	126055	0	n/a
14.2175	0.0	pain	1	142175	0	n/a
15.9529	0.0	pain	1	159529	0	n/a
17.5537	0.0	pain	1	175537	0	n/a
19.1722	0.0	pain	1	191722	0	n/a
20.8731	0.0	pain	1	208731	0	n/a
22.5522	0.0	pain	1	225522	0	n/a
24.1606	0.0	pain	1	241606	0	n/a
25.8225	0.0	pain	1	258225	0	n/a
27.4897	0.0	pain	1	274897	0	n/a
29.1541	0.0	pain	1	291541	0	n/a
30.7565	0.0	pain	1	307565	0	n/a
32.4006	0.0	pain	1	324006	0	n/a
33.9898	0.0	pain	1	339898	0	n/a
35.5836	0.0	pain	1	355836	0	n/a
37.2088	0.0	pain	1	372088	0	n/a
38.813	0.0	pain	1	388130	0	n/a
40.5441	0.0	pain	1	405441	0	n/a
42.1903	0.0	pain	1	421903	0	n/a
43.8724	0.0	pain	1	438724	0	n/a
45.5206	0.0	pain	1	455206	0	n/a
47.19	0.0	pain	1	471900	0	n/a
48.7419	0.0	pain	1	487419	0	n/a
50.4711	0.0	pain	1	504711	0	n/a
52.1982	0.0	pain	1	521982	0	n/a
53.8227	0.0	pain	1	538227	0	n/a
55.4026	0.0	pain	1	554026	0	n/a
56.9988	0.0	pain	1	569988	0	n/a
58.747	0.0	pain	1	587470	0	n/a
60.3521	0.0	pain	1	603521	1	MAN REJECT PRE ICA
62.0623	0.0	pain	1	620623	0	n/a
4.0974	0.0	Abort	99	40974	1	LASER ABORT
14.2905	0.0	pain	1	142905	0	n/a
15.9368	0.0	pain	1	159368	0	n/a
17.554	0.0	pain	1	175540	0	n/a
19.2724	0.0	pain	1	192724	0	n/a
20.9952	0.0	pain	1	209952	0	n/a
22.6057	0.0	pain	1	226057	0	n/a
24.2597	0.0	pain	1	242597	0	n/a
25.9899	0.0	pain	1	259899	1	MAN REJECT PRE ICA
27.652	0.0	pain	1	276520	0	n/a
29.2292	0.0	pain	1	292292	0	n/a
30.9333	0.0	pain	1	309333	0	n/a
32.5924	0.0	pain	1	325924	0	n/a
34.2577	0.0	pain	1	342577	0	n/a
35.8181	0.0	pain	1	358181	0	n/a
37.4592	0.0	pain	1	374592	0	n/a
39.1371	0.0	pain	1	391371	0	n/a
40.8513	0.0	pain	1	408513	0	n/a
42.4275	0.0	pain	1	424275	0	n/a
44.1609	0.0	pain	1	441609	0	n/a
45.797	0.0	pain	1	457970	0	n/a
47.447	0.0	pain	1	474470	0	n/a
49.1075	0.0	pain	1	491075	0	n/a
50.6664	0.0	pain	1	506664	0	n/a
52.2719	0.0	pain	1	522719	0	n/a
53.828	0.0	pain	1	538280	0	n/a
55.5719	0.0	pain	1	555719	0	n/a
57.2944	0.0	pain	1	572944	0	n/a
59.0202	0.0	pain	1	590202	0	n/a
60.6509	0.0	pain	1	606509	0	n/a
62.3988	0.0	pain	1	623988	0	n/a
64.1418	0.0	pain	1	641418	1	MAN REJECT PRE ICA
65.77	0.0	pain	1	657700	0	n/a
67.4591	0.0	pain	1	674591	0	n/a
69.1064	0.0	pain	1	691064	0	n/a
70.8058	0.0	pain	1	708058	0	n/a
4.6378	0.0	Abort	99	46378	1	LASER ABORT
10.0397	0.0	pain	1	100397	0	n/a
11.7652	0.0	pain	1	117652	0	n/a
13.4423	0.0	pain	1	134423	0	n/a
15.1385	0.0	pain	1	151385	0	n/a
16.8465	0.0	pain	1	168465	0	n/a
18.5159	0.0	pain	1	185159	0	n/a
20.1257	0.0	pain	1	201257	0	n/a
21.8562	0.0	pain	1	218562	0	n/a
23.5221	0.0	pain	1	235221	0	n/a
25.1135	0.0	pain	1	251135	0	n/a
26.8407	0.0	pain	1	268407	0	n/a
28.4141	0.0	pain	1	284141	0	n/a
30.129	0.0	pain	1	301290	0	n/a
31.7793	0.0	pain	1	317793	0	n/a
33.3326	0.0	pain	1	333326	0	n/a
35.0337	0.0	pain	1	350337	0	n/a
36.5921	0.0	pain	1	365921	0	n/a
38.337	0.0	pain	1	383370	0	n/a
39.9832	0.0	pain	1	399832	0	n/a
41.6416	0.0	pain	1	416416	0	n/a
43.2976	0.0	pain	1	432976	0	n/a
44.9087	0.0	pain	1	449087	0	n/a
46.5981	0.0	pain	1	465981	0	n/a
48.2961	0.0	pain	1	482961	0	n/a
49.9405	0.0	pain	1	499405	0	n/a
51.5004	0.0	pain	1	515004	0	n/a
53.1458	0.0	pain	1	531458	0	n/a
54.716	0.0	pain	1	547160	0	n/a
56.3779	0.0	pain	1	563779	0	n/a
58.101	0.0	pain	1	581010	0	n/a
59.7212	0.0	pain	1	597212	0	n/a
61.2974	0.0	pain	1	612974	0	n/a
63.0238	0.0	pain	1	630238	0	n/a
64.7646	0.0	pain	1	647646	0	n/a
66.4931	0.0	pain	1	664931	0	n/a
6.9521	0.0	pain	1	69521	0	n/a
8.6592	0.0	pain	1	86592	0	n/a
10.2867	0.0	pain	1	102867	0	n/a
11.8977	0.0	pain	1	118977	0	n/a
13.6017	0.0	pain	1	136017	0	n/a
15.238	0.0	pain	1	152380	0	n/a
16.929	0.0	pain	1	169290	0	n/a
18.6592	0.0	pain	1	186592	0	n/a
20.2404	0.0	pain	1	202404	0	n/a
21.9236	0.0	pain	1	219236	0	n/a
23.6448	0.0	pain	1	236448	0	n/a
25.3071	0.0	pain	1	253071	0	n/a
26.9911	0.0	pain	1	269911	0	n/a
28.6552	0.0	pain	1	286552	0	n/a
30.2217	0.0	pain	1	302217	0	n/a
31.8176	0.0	pain	1	318176	0	n/a
33.37	0.0	pain	1	333700	0	n/a
34.9651	0.0	pain	1	349651	0	n/a
36.6971	0.0	pain	1	366971	0	n/a
38.4085	0.0	pain	1	384085	0	n/a
40.0524	0.0	pain	1	400524	0	n/a
41.7745	0.0	pain	1	417745	0	n/a
43.405	0.0	pain	1	434050	0	n/a
45.0951	0.0	pain	1	450951	0	n/a
46.7952	0.0	pain	1	467952	0	n/a
48.4231	0.0	pain	1	484231	0	n/a
50.0104	0.0	pain	1	500104	0	n/a
51.7535	0.0	pain	1	517535	0	n/a
53.3557	0.0	pain	1	533557	0	n/a
55.0281	0.0	pain	1	550281	0	n/a
56.6691	0.0	pain	1	566691	0	n/a
58.3422	0.0	pain	1	583422	0	n/a
60.0846	0.0	pain	1	600846	0	n/a
61.6705	0.0	pain	1	616705	0	n/a
63.34	0.0	pain	1	633400	0	n/a
64.9562	0.0	pain	1	649562	0	n/a
3.8708	0.0	pain	1	38708	0	n/a
5.4647	0.0	pain	1	54647	0	n/a
7.1898	0.0	pain	1	71898	0	n/a
8.8679	0.0	pain	1	88679	0	n/a
10.4673	0.0	pain	1	104673	0	n/a
12.1696	0.0	pain	1	121696	0	n/a
13.7814	0.0	pain	1	137814	0	n/a
15.3886	0.0	pain	1	153886	0	n/a
17.129	0.0	pain	1	171290	0	n/a
18.861	0.0	pain	1	188610	0	n/a
20.5194	0.0	pain	1	205194	0	n/a
22.1956	0.0	pain	1	221956	0	n/a
23.7916	0.0	pain	1	237916	0	n/a
25.3528	0.0	pain	1	253528	0	n/a
26.9969	0.0	pain	1	269969	0	n/a
28.634	0.0	pain	1	286340	0	n/a
30.2225	0.0	pain	1	302225	0	n/a
31.7864	0.0	pain	1	317864	0	n/a
33.4696	0.0	pain	1	334696	0	n/a
35.0209	0.0	pain	1	350209	0	n/a
36.7199	0.0	pain	1	367199	0	n/a
38.3284	0.0	pain	1	383284	0	n/a
39.9032	0.0	pain	1	399032	0	n/a
41.4874	0.0	pain	1	414874	0	n/a
43.1346	0.0	pain	1	431346	0	n/a
44.8291	0.0	pain	1	448291	0	n/a
46.4829	0.0	pain	1	464829	0	n/a
48.1543	0.0	pain	1	481543	0	n/a
49.7323	0.0	pain	1	497323	0	n/a
51.3347	0.0	pain	1	513347	0	n/a
53.0837	0.0	pain	1	530837	0	n/a
54.6458	0.0	pain	1	546458	0	n/a
56.273	0.0	pain	1	562730	0	n/a
57.9094	0.0	pain	1	579094	0	n/a
59.6217	0.0	pain	1	596217	0	n/a
61.3488	0.0	pain	1	613488	0	n/a
7.4543	0.0	pain	1	74543	0	n/a
9.1835	0.0	pain	1	91835	0	n/a
10.8029	0.0	pain	1	108029	0	n/a
12.4337	0.0	pain	1	124337	0	n/a
14.0509	0.0	pain	1	140509	0	n/a
15.754	0.0	pain	1	157540	0	n/a
17.3315	0.0	pain	1	173315	0	n/a
19.0146	0.0	pain	1	190146	0	n/a
20.7118	0.0	pain	1	207118	0	n/a
22.3677	0.0	pain	1	223677	0	n/a
24.055	0.0	pain	1	240550	0	n/a
25.7291	0.0	pain	1	257291	0	n/a
27.2805	0.0	pain	1	272805	0	n/a
28.9984	0.0	pain	1	289984	0	n/a
