onset	duration	trial_type	value	sample	dropped	drop reason
4.5227	0.0	pain	1	45227	0	n/a
6.1629	0.0	pain	1	61629	0	n/a
7.761	0.0	pain	1	77610	0	n/a
9.442	0.0	pain	1	94420	0	n/a
11.0241	0.0	pain	1	110241	0	n/a
12.7656	0.0	pain	1	127656	0	n/a
14.3995	0.0	pain	1	143995	0	n/a
16.1327	0.0	pain	1	161327	0	n/a
17.7211	0.0	pain	1	177211	0	n/a
19.451	0.0	pain	1	194510	0	n/a
21.1982	0.0	pain	1	211982	0	n/a
22.9164	0.0	pain	1	229164	0	n/a
24.6077	0.0	pain	1	246077	0	n/a
26.3088	0.0	pain	1	263088	0	n/a
27.884	0.0	pain	1	278840	0	n/a
29.4612	0.0	pain	1	294612	0	n/a
31.2033	0.0	pain	1	312033	0	n/a
32.7576	0.0	pain	1	327576	0	n/a
34.4779	0.0	pain	1	344779	0	n/a
36.0421	0.0	pain	1	360421	0	n/a
37.779	0.0	pain	1	377790	0	n/a
4.6737	0.0	pain	1	46737	0	n/a
6.3838	0.0	pain	1	63838	0	n/a
7.943	0.0	pain	1	79430	0	n/a
9.5622	0.0	pain	1	95622	0	n/a
11.2713	0.0	pain	1	112713	0	n/a
12.8715	0.0	pain	1	128715	0	n/a
14.5689	0.0	pain	1	145689	0	n/a
16.2998	0.0	pain	1	162998	0	n/a
17.9542	0.0	pain	1	179542	0	n/a
19.5461	0.0	pain	1	195461	0	n/a
21.1133	0.0	pain	1	211133	0	n/a
22.7634	0.0	pain	1	227634	0	n/a
24.3356	0.0	pain	1	243356	0	n/a
25.9262	0.0	pain	1	259262	0	n/a
27.528	0.0	pain	1	275280	0	n/a
29.1732	0.0	pain	1	291732	0	n/a
30.7393	0.0	pain	1	307393	0	n/a
32.3326	0.0	pain	1	323326	0	n/a
33.9889	0.0	pain	1	339889	0	n/a
35.7238	0.0	pain	1	357238	0	n/a
37.306	0.0	pain	1	373060	0	n/a
39.0065	0.0	pain	1	390065	0	n/a
40.6076	0.0	pain	1	406076	0	n/a
42.1917	0.0	pain	1	421917	0	n/a
43.7436	0.0	pain	1	437436	0	n/a
45.4939	0.0	pain	1	454939	0	n/a
47.1031	0.0	pain	1	471031	0	n/a
48.7896	0.0	pain	1	487896	0	n/a
50.4876	0.0	pain	1	504876	0	n/a
52.1428	0.0	pain	1	521428	0	n/a
53.7649	0.0	pain	1	537649	0	n/a
55.3192	0.0	pain	1	553192	0	n/a
57.0651	0.0	pain	1	570651	0	n/a
58.7694	0.0	pain	1	587694	0	n/a
60.3225	0.0	pain	1	603225	0	n/a
61.9601	0.0	pain	1	619601	0	n/a
4.3344	0.0	pain	1	43344	1	MAN REJECT PRE ICA
6.0275	0.0	pain	1	60275	0	n/a
7.5954	0.0	pain	1	75954	0	n/a
9.3239	0.0	pain	1	93239	1	MAN REJECT PRE ICA
10.9997	0.0	pain	1	109997	0	n/a
12.733	0.0	pain	1	127330	0	n/a
14.4185	0.0	pain	1	144185	0	n/a
16.1014	0.0	pain	1	161014	0	n/a
17.7138	0.0	pain	1	177138	0	n/a
19.4567	0.0	pain	1	194567	0	n/a
21.0369	0.0	pain	1	210369	0	n/a
22.7883	0.0	pain	1	227883	0	n/a
24.4052	0.0	Abort	99	244052	1	LASER ABORT
41.2036	0.0	pain	1	412036	0	n/a
42.8366	0.0	pain	1	428366	0	n/a
44.4107	0.0	pain	1	444107	0	n/a
46.0139	0.0	pain	1	460139	0	n/a
47.5931	0.0	pain	1	475931	0	n/a
49.2353	0.0	pain	1	492353	0	n/a
50.8904	0.0	pain	1	508904	0	n/a
52.4536	0.0	pain	1	524536	0	n/a
54.0847	0.0	Abort	99	540847	1	LASER ABORT
66.7878	0.0	pain	1	667878	0	n/a
68.511	0.0	pain	1	685110	0	n/a
70.1916	0.0	pain	1	701916	0	n/a
71.8926	0.0	pain	1	718926	0	n/a
73.6407	0.0	pain	1	736407	0	n/a
75.2001	0.0	pain	1	752001	0	n/a
76.808	0.0	pain	1	768080	0	n/a
78.4095	0.0	pain	1	784095	0	n/a
80.1034	0.0	pain	1	801034	0	n/a
81.7525	0.0	pain	1	817525	0	n/a
83.5027	0.0	pain	1	835027	0	n/a
85.2518	0.0	pain	1	852518	0	n/a
86.961	0.0	pain	1	869610	0	n/a
88.6231	0.0	pain	1	886231	0	n/a
2.8127	0.0	pain	1	28127	0	n/a
4.378	0.0	pain	1	43780	0	n/a
5.9399	0.0	pain	1	59399	0	n/a
