onset	duration	trial_type	value	sample	dropped	drop reason
5.9009	0.0	pain	1	59009	0	n/a
7.4767	0.0	pain	1	74767	0	n/a
9.0948	0.0	pain	1	90948	1	MAN REJECT PRE ICA
10.708	0.0	pain	1	107080	0	n/a
12.4052	0.0	pain	1	124052	0	n/a
14.0894	0.0	pain	1	140894	0	n/a
15.8305	0.0	pain	1	158305	0	n/a
17.5607	0.0	pain	1	175607	0	n/a
19.1982	0.0	pain	1	191982	0	n/a
20.7643	0.0	pain	1	207643	0	n/a
22.5093	0.0	pain	1	225093	0	n/a
24.1457	0.0	pain	1	241457	0	n/a
25.8628	0.0	pain	1	258628	0	n/a
27.5351	0.0	pain	1	275351	0	n/a
29.121	0.0	pain	1	291210	0	n/a
30.7772	0.0	pain	1	307772	0	n/a
32.4435	0.0	pain	1	324435	0	n/a
34.0458	0.0	pain	1	340458	0	n/a
35.7669	0.0	pain	1	357669	0	n/a
37.4948	0.0	pain	1	374948	0	n/a
39.052	0.0	pain	1	390520	0	n/a
40.8021	0.0	pain	1	408021	0	n/a
42.4525	0.0	pain	1	424525	0	n/a
44.0468	0.0	pain	1	440468	0	n/a
45.75	0.0	pain	1	457500	0	n/a
47.3339	0.0	pain	1	473339	0	n/a
48.953	0.0	pain	1	489530	0	n/a
50.6792	0.0	pain	1	506792	0	n/a
52.3934	0.0	pain	1	523934	0	n/a
53.9756	0.0	pain	1	539756	0	n/a
55.6757	0.0	pain	1	556757	0	n/a
57.3611	0.0	pain	1	573611	0	n/a
59.034	0.0	pain	1	590340	0	n/a
60.7825	0.0	pain	1	607825	0	n/a
62.5054	0.0	pain	1	625054	0	n/a
64.0965	0.0	pain	1	640965	0	n/a
3.182	0.0	pain	1	31820	0	n/a
4.7731	0.0	pain	1	47731	0	n/a
6.3345	0.0	pain	1	63345	0	n/a
8.0097	0.0	pain	1	80097	0	n/a
9.6897	0.0	pain	1	96897	0	n/a
11.2922	0.0	pain	1	112922	0	n/a
12.9111	0.0	pain	1	129111	0	n/a
14.6482	0.0	pain	1	146482	0	n/a
16.3726	0.0	pain	1	163726	0	n/a
18.1077	0.0	pain	1	181077	0	n/a
19.7948	0.0	pain	1	197948	0	n/a
21.4611	0.0	pain	1	214611	0	n/a
23.0212	0.0	pain	1	230212	0	n/a
24.7533	0.0	pain	1	247533	0	n/a
26.3415	0.0	pain	1	263415	0	n/a
28.0306	0.0	pain	1	280306	0	n/a
