onset	duration	trial_type	value	sample	dropped	drop reason
1.2368	0.0	pain	1	12368	0	n/a
2.9549	0.0	pain	1	29549	0	n/a
4.6171	0.0	pain	1	46171	0	n/a
6.329	0.0	pain	1	63290	0	n/a
7.9892	0.0	pain	1	79892	0	n/a
9.6364	0.0	pain	1	96364	0	n/a
11.2588	0.0	pain	1	112588	0	n/a
12.876	0.0	pain	1	128760	0	n/a
14.5128	0.0	pain	1	145128	0	n/a
8.5114	0.0	pain	1	85114	0	n/a
10.2318	0.0	pain	1	102318	0	n/a
11.8309	0.0	pain	1	118309	0	n/a
13.4468	0.0	pain	1	134468	0	n/a
15.179	0.0	pain	1	151790	0	n/a
16.8711	0.0	pain	1	168711	0	n/a
18.4623	0.0	pain	1	184623	0	n/a
20.1535	0.0	pain	1	201535	0	n/a
21.9047	0.0	pain	1	219047	0	n/a
23.5202	0.0	pain	1	235202	0	n/a
25.2605	0.0	pain	1	252605	0	n/a
26.9793	0.0	pain	1	269793	0	n/a
28.5584	0.0	pain	1	285584	0	n/a
30.1759	0.0	pain	1	301759	0	n/a
31.761	0.0	pain	1	317610	0	n/a
33.4062	0.0	pain	1	334062	0	n/a
35.0324	0.0	pain	1	350324	0	n/a
36.6836	0.0	pain	1	366836	0	n/a
38.2615	0.0	pain	1	382615	0	n/a
39.9948	0.0	pain	1	399948	0	n/a
41.6731	0.0	pain	1	416731	0	n/a
43.3165	0.0	pain	1	433165	0	n/a
45.0166	0.0	pain	1	450166	0	n/a
46.6215	0.0	pain	1	466215	0	n/a
48.347	0.0	pain	1	483470	0	n/a
49.9488	0.0	pain	1	499488	0	n/a
51.571	0.0	pain	1	515710	0	n/a
53.1576	0.0	pain	1	531576	0	n/a
54.8514	0.0	pain	1	548514	0	n/a
56.4408	0.0	pain	1	564408	0	n/a
58.1157	0.0	Abort	99	581157	1	LASER ABORT
4.7434	0.0	pain	1	47434	0	n/a
6.3684	0.0	pain	1	63684	0	n/a
7.9644	0.0	pain	1	79644	0	n/a
9.6099	0.0	pain	1	96099	0	n/a
11.3301	0.0	pain	1	113301	0	n/a
12.9859	0.0	pain	1	129859	0	n/a
14.6121	0.0	pain	1	146121	0	n/a
16.2933	0.0	pain	1	162933	0	n/a
17.9256	0.0	pain	1	179256	0	n/a
19.6699	0.0	pain	1	196699	0	n/a
21.3311	0.0	pain	1	213311	0	n/a
23.019	0.0	pain	1	230190	0	n/a
24.6173	0.0	pain	1	246173	0	n/a
26.2633	0.0	pain	1	262633	0	n/a
28.0057	0.0	pain	1	280057	0	n/a
29.708	0.0	pain	1	297080	0	n/a
31.4462	0.0	pain	1	314462	0	n/a
33.1134	0.0	pain	1	331134	0	n/a
34.6815	0.0	pain	1	346815	0	n/a
36.3237	0.0	pain	1	363237	0	n/a
37.9508	0.0	pain	1	379508	0	n/a
39.642	0.0	pain	1	396420	0	n/a
41.3449	0.0	pain	1	413449	0	n/a
42.9684	0.0	pain	1	429684	0	n/a
44.6433	0.0	pain	1	446433	0	n/a
46.3895	0.0	pain	1	463895	0	n/a
48.1139	0.0	pain	1	481139	0	n/a
49.67	0.0	pain	1	496700	0	n/a
51.2359	0.0	pain	1	512359	0	n/a
52.8518	0.0	pain	1	528518	0	n/a
54.5814	0.0	pain	1	545814	0	n/a
56.2335	0.0	pain	1	562335	0	n/a
57.8276	0.0	pain	1	578276	0	n/a
59.3978	0.0	pain	1	593978	0	n/a
61.1319	0.0	pain	1	611319	0	n/a
62.84	0.0	pain	1	628400	0	n/a
2.8492	0.0	pain	1	28492	0	n/a
4.4224	0.0	pain	1	44224	0	n/a
6.0325	0.0	pain	1	60325	0	n/a
7.7216	0.0	pain	1	77216	0	n/a
9.3337	0.0	pain	1	93337	0	n/a
10.9319	0.0	pain	1	109319	0	n/a
12.5251	0.0	pain	1	125251	0	n/a
14.1102	0.0	pain	1	141102	0	n/a
15.7412	0.0	pain	1	157412	0	n/a
17.3866	0.0	pain	1	173866	0	n/a
19.1219	0.0	pain	1	191219	0	n/a
20.7842	0.0	pain	1	207842	0	n/a
22.4607	0.0	pain	1	224607	0	n/a
24.0637	0.0	pain	1	240637	0	n/a
25.6291	0.0	pain	1	256291	0	n/a
27.3203	0.0	pain	1	273203	0	n/a
29.0332	0.0	pain	1	290332	0	n/a
30.7126	0.0	pain	1	307126	0	n/a
32.4585	0.0	pain	1	324585	0	n/a
34.2097	0.0	pain	1	342097	0	n/a
35.8601	0.0	pain	1	358601	0	n/a
37.451	0.0	pain	1	374510	0	n/a
39.0575	0.0	pain	1	390575	0	n/a
40.7584	0.0	pain	1	407584	0	n/a
42.3989	0.0	pain	1	423989	0	n/a
44.08	0.0	pain	1	440800	0	n/a
45.7459	0.0	pain	1	457459	0	n/a
47.4723	0.0	pain	1	474723	0	n/a
49.1042	0.0	pain	1	491042	0	n/a
50.8484	0.0	pain	1	508484	0	n/a
52.5038	0.0	pain	1	525038	0	n/a
54.1367	0.0	pain	1	541367	0	n/a
55.7898	0.0	pain	1	557898	0	n/a
57.497	0.0	pain	1	574970	0	n/a
59.0492	0.0	pain	1	590492	0	n/a
60.7056	0.0	pain	1	607056	0	n/a
3.7792	0.0	pain	1	37792	0	n/a
5.453	0.0	pain	1	54530	0	n/a
7.2001	0.0	pain	1	72001	0	n/a
8.8183	0.0	pain	1	88183	0	n/a
10.5345	0.0	pain	1	105345	0	n/a
12.1616	0.0	pain	1	121616	0	n/a
13.8288	0.0	pain	1	138288	0	n/a
15.5072	0.0	pain	1	155072	0	n/a
17.093	0.0	pain	1	170930	0	n/a
18.8442	0.0	pain	1	188442	0	n/a
20.4589	0.0	pain	1	204589	0	n/a
22.1707	0.0	pain	1	221707	0	n/a
23.7752	0.0	pain	1	237752	0	n/a
25.5033	0.0	pain	1	255033	0	n/a
27.1895	0.0	pain	1	271895	0	n/a
28.7655	0.0	pain	1	287655	0	n/a
30.5061	0.0	pain	1	305061	0	n/a
32.1629	0.0	pain	1	321629	0	n/a
33.7171	0.0	pain	1	337171	0	n/a
35.4192	0.0	pain	1	354192	0	n/a
36.9814	0.0	pain	1	369814	0	n/a
38.5379	0.0	pain	1	385379	0	n/a
40.1927	0.0	pain	1	401927	0	n/a
41.753	0.0	pain	1	417530	0	n/a
43.4254	0.0	pain	1	434254	0	n/a
45.1253	0.0	pain	1	451253	0	n/a
46.7677	0.0	pain	1	467677	0	n/a
48.3916	0.0	pain	1	483916	0	n/a
49.9888	0.0	pain	1	499888	0	n/a
51.547	0.0	pain	1	515470	0	n/a
53.1942	0.0	pain	1	531942	0	n/a
54.8906	0.0	pain	1	548906	0	n/a
56.4438	0.0	pain	1	564438	0	n/a
58.1466	0.0	pain	1	581466	0	n/a
59.778	0.0	pain	1	597780	0	n/a
61.4289	0.0	pain	1	614289	0	n/a
3.3237	0.0	pain	1	33237	0	n/a
4.9181	0.0	pain	1	49181	0	n/a
6.5493	0.0	pain	1	65493	0	n/a
8.2125	0.0	pain	1	82125	0	n/a
9.7816	0.0	pain	1	97816	0	n/a
11.4048	0.0	pain	1	114048	0	n/a
13.1109	0.0	pain	1	131109	0	n/a
14.7159	0.0	pain	1	147159	0	n/a
16.3693	0.0	pain	1	163693	0	n/a
17.9465	0.0	pain	1	179465	0	n/a
19.6603	0.0	pain	1	196603	0	n/a
21.2864	0.0	pain	1	212864	0	n/a
22.9686	0.0	pain	1	229686	0	n/a
24.6619	0.0	pain	1	246619	0	n/a
26.3134	0.0	pain	1	263134	0	n/a
27.8794	0.0	pain	1	278794	0	n/a
29.5275	0.0	pain	1	295275	0	n/a
31.1946	0.0	pain	1	311946	0	n/a
32.7488	0.0	pain	1	327488	0	n/a
34.476	0.0	pain	1	344760	0	n/a
36.0624	0.0	pain	1	360624	0	n/a
37.7423	0.0	pain	1	377423	0	n/a
39.4757	0.0	pain	1	394757	0	n/a
41.1146	0.0	pain	1	411146	0	n/a
42.781	0.0	pain	1	427810	0	n/a
44.3332	0.0	pain	1	443332	0	n/a
45.8963	0.0	pain	1	458963	0	n/a
47.5367	0.0	pain	1	475367	0	n/a
49.2548	0.0	pain	1	492548	0	n/a
50.9108	0.0	pain	1	509108	0	n/a
52.6072	0.0	pain	1	526072	0	n/a
54.3461	0.0	pain	1	543461	0	n/a
56.0256	0.0	pain	1	560256	0	n/a
57.6005	0.0	pain	1	576005	0	n/a
59.1837	0.0	pain	1	591837	0	n/a
60.768	0.0	pain	1	607680	0	n/a
5.7849	0.0	pain	1	57849	0	n/a
7.5027	0.0	pain	1	75027	0	n/a
9.0929	0.0	pain	1	90929	0	n/a
10.7843	0.0	pain	1	107843	0	n/a
12.4582	0.0	pain	1	124582	0	n/a
14.1553	0.0	pain	1	141553	0	n/a
15.8106	0.0	pain	1	158106	0	n/a
17.3648	0.0	pain	1	173648	0	n/a
19.0403	0.0	pain	1	190403	0	n/a
20.7761	0.0	pain	1	207761	0	n/a
22.3673	0.0	pain	1	223673	0	n/a
24.0907	0.0	pain	1	240907	0	n/a
25.7866	0.0	pain	1	257866	0	n/a
27.4397	0.0	pain	1	274397	0	n/a
29.0941	0.0	pain	1	290941	0	n/a
30.784	0.0	pain	1	307840	0	n/a
32.3982	0.0	pain	1	323982	0	n/a
34.0794	0.0	pain	1	340794	0	n/a
35.6787	0.0	pain	1	356787	0	n/a
37.2367	0.0	pain	1	372367	0	n/a
38.9588	0.0	pain	1	389588	0	n/a
40.5944	0.0	pain	1	405944	0	n/a
42.3322	0.0	pain	1	423322	0	n/a
43.9297	0.0	pain	1	439297	0	n/a
45.5936	0.0	pain	1	455936	0	n/a
47.1637	0.0	pain	1	471637	0	n/a
48.7319	0.0	pain	1	487319	0	n/a
50.3903	0.0	pain	1	503903	0	n/a
51.9475	0.0	pain	1	519475	0	n/a
53.5224	0.0	pain	1	535224	0	n/a
55.1825	0.0	pain	1	551825	0	n/a
56.7487	0.0	pain	1	567487	0	n/a
58.3778	0.0	pain	1	583778	0	n/a
59.9552	0.0	pain	1	599552	0	n/a
61.5371	0.0	pain	1	615371	0	n/a
63.2473	0.0	pain	1	632473	0	n/a
3.7986	0.0	pain	1	37986	0	n/a
5.4225	0.0	pain	1	54225	0	n/a
7.0108	0.0	pain	1	70108	0	n/a
8.6398	0.0	pain	1	86398	0	n/a
10.209	0.0	pain	1	102090	0	n/a
11.8132	0.0	pain	1	118132	0	n/a
13.5233	0.0	pain	1	135233	0	n/a
15.1958	0.0	pain	1	151958	0	n/a
16.8978	0.0	pain	1	168978	0	n/a
18.51	0.0	pain	1	185100	0	n/a
20.1884	0.0	pain	1	201884	0	n/a
21.8553	0.0	pain	1	218553	0	n/a
23.4305	0.0	pain	1	234305	0	n/a
25.1558	0.0	pain	1	251558	0	n/a
26.8108	0.0	pain	1	268108	0	n/a
28.4251	0.0	pain	1	284251	0	n/a
30.0035	0.0	pain	1	300035	0	n/a
31.6974	0.0	pain	1	316974	0	n/a
33.3369	0.0	pain	1	333369	0	n/a
34.9018	0.0	pain	1	349018	0	n/a
36.579	0.0	pain	1	365790	0	n/a
38.2234	0.0	pain	1	382234	0	n/a
39.9306	0.0	pain	1	399306	0	n/a
41.5588	0.0	pain	1	415588	0	n/a
43.2719	0.0	pain	1	432719	0	n/a
45.0169	0.0	pain	1	450169	0	n/a
46.757	0.0	pain	1	467570	0	n/a
48.3425	0.0	pain	1	483425	0	n/a
50.0707	0.0	pain	1	500707	0	n/a
51.8066	0.0	pain	1	518066	0	n/a
53.415	0.0	pain	1	534150	0	n/a
55.1629	0.0	pain	1	551629	0	n/a
56.8955	0.0	pain	1	568955	0	n/a
58.5364	0.0	pain	1	585364	0	n/a
60.2448	0.0	pain	1	602448	0	n/a
61.8006	0.0	pain	1	618006	0	n/a
2.3644	0.0	pain	1	23644	0	n/a
3.9978	0.0	pain	1	39978	0	n/a
5.659	0.0	pain	1	56590	0	n/a
7.3869	0.0	pain	1	73869	0	n/a
9.0973	0.0	pain	1	90973	0	n/a
10.7054	0.0	pain	1	107054	0	n/a
12.3168	0.0	pain	1	123168	0	n/a
13.8907	0.0	pain	1	138907	0	n/a
15.539	0.0	pain	1	155390	0	n/a
17.1831	0.0	pain	1	171831	0	n/a
18.8282	0.0	pain	1	188282	0	n/a
20.5654	0.0	pain	1	205654	0	n/a
22.2495	0.0	pain	1	222495	0	n/a
23.8748	0.0	pain	1	238748	0	n/a
25.5979	0.0	pain	1	255979	0	n/a
27.1671	0.0	pain	1	271671	0	n/a
28.7762	0.0	pain	1	287762	0	n/a
30.5234	0.0	pain	1	305234	0	n/a
32.0848	0.0	pain	1	320848	0	n/a
33.672	0.0	pain	1	336720	0	n/a
35.2789	0.0	pain	1	352789	0	n/a
37.03	0.0	pain	1	370300	0	n/a
38.7073	0.0	pain	1	387073	0	n/a
40.3806	0.0	pain	1	403806	0	n/a
42.0468	0.0	pain	1	420468	0	n/a
43.688	0.0	pain	1	436880	0	n/a
45.3449	0.0	pain	1	453449	0	n/a
46.909	0.0	pain	1	469090	0	n/a
48.5655	0.0	pain	1	485655	0	n/a
50.2917	0.0	pain	1	502917	0	n/a
51.8886	0.0	pain	1	518886	0	n/a
53.569	0.0	pain	1	535690	0	n/a
55.2222	0.0	pain	1	552222	0	n/a
56.846	0.0	pain	1	568460	0	n/a
58.4223	0.0	pain	1	584223	0	n/a
60.0064	0.0	pain	1	600064	0	n/a
7.071	0.0	pain	1	70710	0	n/a
8.6254	0.0	pain	1	86254	0	n/a
10.2403	0.0	pain	1	102403	0	n/a
11.8297	0.0	pain	1	118297	0	n/a
13.4109	0.0	pain	1	134109	0	n/a
15.0421	0.0	pain	1	150421	0	n/a
16.6414	0.0	pain	1	166414	0	n/a
18.2132	0.0	pain	1	182132	0	n/a
19.8034	0.0	pain	1	198034	0	n/a
21.4806	0.0	pain	1	214806	0	n/a
23.181	0.0	pain	1	231810	0	n/a
24.824	0.0	pain	1	248240	0	n/a
26.5193	0.0	pain	1	265193	0	n/a
28.2083	0.0	pain	1	282083	0	n/a
29.8475	0.0	pain	1	298475	0	n/a
31.516	0.0	pain	1	315160	0	n/a
33.1619	0.0	pain	1	331619	0	n/a
34.79	0.0	pain	1	347900	0	n/a
36.3532	0.0	pain	1	363532	0	n/a
38.0207	0.0	pain	1	380207	0	n/a
39.5899	0.0	pain	1	395899	0	n/a
41.3027	0.0	pain	1	413027	0	n/a
42.8739	0.0	pain	1	428739	0	n/a
44.5391	0.0	pain	1	445391	0	n/a
46.2225	0.0	pain	1	462225	0	n/a
47.8447	0.0	pain	1	478447	0	n/a
49.4857	0.0	pain	1	494857	0	n/a
51.113	0.0	pain	1	511130	0	n/a
52.8013	0.0	pain	1	528013	0	n/a
54.4954	0.0	pain	1	544954	0	n/a
56.1407	0.0	pain	1	561407	0	n/a
57.7769	0.0	pain	1	577769	0	n/a
59.3391	0.0	pain	1	593391	0	n/a
60.9512	0.0	pain	1	609512	0	n/a
62.6746	0.0	pain	1	626746	0	n/a
64.2856	0.0	Abort	99	642856	1	LASER ABORT
