onset	duration	trial_type	value	sample	dropped	drop reason
8.3234	0.0	pain	1	83234	0	n/a
9.8815	0.0	pain	1	98815	0	n/a
11.4507	0.0	pain	1	114507	0	n/a
13.0589	0.0	pain	1	130589	0	n/a
14.7781	0.0	pain	1	147781	0	n/a
16.4892	0.0	pain	1	164892	0	n/a
18.1774	0.0	pain	1	181774	0	n/a
19.8982	0.0	pain	1	198982	0	n/a
21.4494	0.0	pain	1	214494	0	n/a
23.0087	0.0	pain	1	230087	0	n/a
24.6997	0.0	pain	1	246997	0	n/a
26.3422	0.0	pain	1	263422	0	n/a
28.0621	0.0	pain	1	280621	0	n/a
29.7934	0.0	pain	1	297934	0	n/a
31.3998	0.0	pain	1	313998	0	n/a
33.0591	0.0	pain	1	330591	0	n/a
34.6453	0.0	pain	1	346453	0	n/a
36.2733	0.0	pain	1	362733	0	n/a
37.8625	0.0	pain	1	378625	0	n/a
39.4839	0.0	pain	1	394839	0	n/a
41.1147	0.0	pain	1	411147	0	n/a
42.8601	0.0	pain	1	428601	0	n/a
44.5632	0.0	pain	1	445632	0	n/a
46.1885	0.0	pain	1	461885	0	n/a
47.8508	0.0	pain	1	478508	0	n/a
49.4239	0.0	pain	1	494239	0	n/a
51.0093	0.0	pain	1	510093	0	n/a
52.6696	0.0	pain	1	526696	0	n/a
54.3248	0.0	pain	1	543248	0	n/a
55.89	0.0	pain	1	558900	0	n/a
57.4421	0.0	pain	1	574421	0	n/a
59.0954	0.0	pain	1	590954	0	n/a
60.7468	0.0	pain	1	607468	0	n/a
62.483	0.0	pain	1	624830	0	n/a
64.1841	0.0	pain	1	641841	0	n/a
65.8103	0.0	pain	1	658103	0	n/a
4.7672	0.0	pain	1	47672	0	n/a
6.4225	0.0	pain	1	64225	0	n/a
8.1488	0.0	pain	1	81488	0	n/a
9.7676	0.0	pain	1	97676	0	n/a
11.4802	0.0	pain	1	114802	0	n/a
13.153	0.0	pain	1	131530	0	n/a
14.8803	0.0	Abort	99	148803	1	LASER ABORT
17.2544	0.0	pain	1	172544	0	n/a
18.8917	0.0	pain	1	188917	0	n/a
20.5057	0.0	pain	1	205057	0	n/a
22.0902	0.0	pain	1	220902	0	n/a
23.6605	0.0	pain	1	236605	0	n/a
25.3373	0.0	pain	1	253373	0	n/a
27.0485	0.0	pain	1	270485	0	n/a
28.7646	0.0	pain	1	287646	0	n/a
30.4731	0.0	pain	1	304731	0	n/a
32.1773	0.0	pain	1	321773	0	n/a
33.7723	0.0	pain	1	337723	0	n/a
35.3337	0.0	pain	1	353337	0	n/a
37.0585	0.0	pain	1	370585	0	n/a
38.6947	0.0	pain	1	386947	0	n/a
40.4191	0.0	pain	1	404191	0	n/a
42.0441	0.0	pain	1	420441	0	n/a
43.6942	0.0	Abort	99	436942	1	LASER ABORT
47.0312	0.0	pain	1	470312	0	n/a
48.7074	0.0	Abort	99	487074	1	LASER ABORT
51.6894	0.0	pain	1	516894	1	MAN REJECT PRE ICA
53.3074	0.0	pain	1	533074	0	n/a
55.0146	0.0	pain	1	550146	0	n/a
56.7424	0.0	pain	1	567424	0	n/a
58.3717	0.0	pain	1	583717	0	n/a
60.0658	0.0	pain	1	600658	0	n/a
61.658	0.0	pain	1	616580	0	n/a
63.2374	0.0	pain	1	632374	0	n/a
64.8603	0.0	pain	1	648603	0	n/a
66.4677	0.0	Abort	99	664677	1	LASER ABORT
7.9723	0.0	pain	1	79723	0	n/a
9.6881	0.0	pain	1	96881	0	n/a
11.3736	0.0	pain	1	113736	0	n/a
13.0486	0.0	pain	1	130486	0	n/a
14.621	0.0	pain	1	146210	0	n/a
16.2219	0.0	pain	1	162219	0	n/a
17.9404	0.0	pain	1	179404	0	n/a
19.6492	0.0	pain	1	196492	0	n/a
21.3926	0.0	pain	1	213926	0	n/a
23.0878	0.0	pain	1	230878	0	n/a
24.743	0.0	pain	1	247430	0	n/a
26.3121	0.0	pain	1	263121	0	n/a
27.9323	0.0	pain	1	279323	0	n/a
29.5194	0.0	pain	1	295194	0	n/a
31.2403	0.0	pain	1	312403	0	n/a
32.9237	0.0	pain	1	329237	0	n/a
34.6619	0.0	pain	1	346619	0	n/a
36.255	0.0	pain	1	362550	0	n/a
37.8742	0.0	pain	1	378742	0	n/a
39.5733	0.0	pain	1	395733	0	n/a
41.3076	0.0	pain	1	413076	0	n/a
42.9634	0.0	pain	1	429634	0	n/a
44.5269	0.0	pain	1	445269	0	n/a
46.2567	0.0	pain	1	462567	0	n/a
47.8472	0.0	pain	1	478472	0	n/a
49.5063	0.0	pain	1	495063	0	n/a
51.0882	0.0	pain	1	510882	0	n/a
52.7906	0.0	pain	1	527906	0	n/a
54.3826	0.0	pain	1	543826	0	n/a
56.1137	0.0	pain	1	561137	0	n/a
57.7169	0.0	pain	1	577169	0	n/a
59.342	0.0	pain	1	593420	0	n/a
60.9414	0.0	pain	1	609414	0	n/a
62.5513	0.0	pain	1	625513	0	n/a
64.1898	0.0	pain	1	641898	0	n/a
65.909	0.0	pain	1	659090	0	n/a
8.394	0.0	pain	1	83940	0	n/a
